Year	MonthCount	Min-s_77Balance	Max-s_77Balance	Q1-s_77Balance	Q2-s_77Balance	Q3-s_77Balance	Mean-s_77Balance	StdDev-s_77Balance	Skew-s_77Balance	Kurt-s_77Balance	Min-s_77Networth	Max-s_77Networth	Q1-s_77Networth	Q2-s_77Networth	Q3-s_77Networth	Mean-s_77Networth	StdDev-s_77Networth	Skew-s_77Networth	Kurt-s_77Networth	Min-s_77Reserves	Max-s_77Reserves	Q1-s_77Reserves	Q2-s_77Reserves	Q3-s_77Reserves	Mean-s_77Reserves	StdDev-s_77Reserves	Skew-s_77Reserves	Kurt-s_77Reserves	Min-s_77Debts	Max-s_77Debts	Q1-s_77Debts	Q2-s_77Debts	Q3-s_77Debts	Mean-s_77Debts	StdDev-s_77Debts	Skew-s_77Debts	Kurt-s_77Debts	Min-s_77Equity	Max-s_77Equity	Q1-s_77Equity	Q2-s_77Equity	Q3-s_77Equity	Mean-s_77Equity	StdDev-s_77Equity	Skew-s_77Equity	Kurt-s_77Equity
2030	  12	-2194.907557387	-2038.657612382	-2158.773550757	-2115.896683825	-2073.551342212	-2116.241196536	51.214903810	-0.016862718	1.783517093	102185.906431985	130858.349746154	108833.567802013	116708.579712051	124471.723909897	116636.071677719	9398.069569380	-0.019340697	1.783623979	137739.248057424	143055.454625549	138928.613829708	140370.300809030	141828.217678251	140380.820338032	1742.522309467	0.015133367	1.783461965	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	74587.247943181	78092.860593673	75370.063565846	76320.095272632	77282.102028943	76327.857005099	1149.053883046	0.016933123	1.783519605
2031	  12	-2373.713660944	-2209.469672209	-2335.730969957	-2290.660441137	-2246.148631481	-2291.022579772	53.835155489	-0.016862718	1.783517093	69137.400379314	99503.873994635	76178.613649622	84519.256396068	92740.731088158	84442.016582439	9953.337656767	-0.019453437	1.783625387	132183.012962018	137266.685292283	133320.397704486	134699.043005332	136093.171570349	134709.078602754	1666.303291703	0.015097560	1.783460869	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	70942.174147618	74276.467743418	71686.733623400	72590.337344506	73505.330895272	72597.719761629	1092.899696985	0.016933123	1.783519605
2032	  12	-2561.667824112	-2389.020801198	-2521.741866567	-2474.365443955	-2427.576325639	-2474.746110289	56.589464216	-0.016862718	1.783517093	34126.702261390	66296.462855426	41586.650219402	50422.869306354	59132.320033802	50340.703289833	10544.417084718	-0.019534075	1.783625933	126869.268167566	131731.096239328	127957.060357370	129275.561594618	130608.834807898	129285.136164816	1593.588186898	0.015061241	1.783459760	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	67475.234863537	70646.581755337	68183.407767763	69042.852435731	69913.130313148	69049.874074625	1039.489762224	0.016933123	1.783519605
2033	  12	-2759.238078982	-2577.758106712	-2717.269433675	-2667.469143367	-2618.286204957	-2667.869285313	59.484688606	-0.016862718	1.783517093	-2970.116339185	31116.725009012	4934.802322026	14297.789997251	23526.090191706	14210.491134420	11172.795008391	-0.019587064	1.783625740	121786.880990752	126437.049021900	122827.356132940	124088.473843793	125363.685881603	124097.609190210	1524.211218849	0.015024409	1.783458638	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	64177.724669329	67194.088051605	64851.289211307	65668.732876096	66496.480332117	65675.411367969	988.689967386	0.016933123	1.783519605
2034	  12	-2966.916403057	-2776.151570978	-2922.800562204	-2870.452394529	-2818.753163647	-2870.873008497	62.528038170	-0.016862718	1.783517093	-42282.228370987	-6159.693088208	-33904.984669807	-23982.712028892	-14203.384454631	-24075.363116793	11840.051118858	-0.019616386	1.783624922	116925.245060910	121373.455812707	117920.571116617	119126.935347652	120346.748279416	119135.652226165	1458.014577879	0.014987067	1.783457502	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	61041.363576757	63910.317483207	61682.011064824	62459.506312638	63246.801806099	62465.858427062	940.372755108	0.016933123	1.783519605
2035	  12	-4635.219944340	-2984.695221403	-4588.847053343	-3083.820654058	-3029.476392405	-3688.429454102	803.753160583	-0.335627285	1.119885487	-91194.371843484	-45662.415711348	-78691.262561490	-64550.783758780	-54186.866565983	-66461.519733071	14898.072031660	-0.241951371	1.840335301	112274.255037634	116529.752941952	113226.497589290	114380.614164370	115547.564298872	114388.932334038	1394.848034855	0.014949214	1.783456352	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	58058.276240051	60787.024561854	58667.615328420	59407.114435713	60155.934851305	59413.156122732	894.416801749	0.016933123	1.783519605
2036	  12	-4864.692309109	-4653.908360774	-4815.946892998	-4758.105238693	-4700.980621475	-4758.569992452	69.089814005	-0.016862718	1.783517093	-152747.184237450	-96226.659522533	-139713.411788361	-124219.316616105	-108885.779942441	-124323.384000948	18525.950130056	-0.014081733	1.783446658	107824.282553098	111895.875719359	108735.409719452	109839.666204014	110956.170128189	109847.604475363	1334.568573978	0.014910853	1.783455190	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	55220.972181060	57816.366755717	55800.532909121	56503.892744726	57216.118356921	56509.639174906	850.706712742	0.016933123	1.783519605
2037	  12	-5105.904915572	-4884.336860397	-5054.665591459	-4993.864648343	-4933.817427292	-4994.353179787	72.624580014	-0.016862718	1.783517093	-216937.551628485	-157993.569175126	-203341.987404326	-187182.288736692	-171192.548138293	-187292.448533874	19320.303435520	-0.014293247	1.783451499	103566.153319510	107462.234475819	104438.040432627	105494.711809140	106563.072134384	105502.288090094	1277.040043441	0.014871986	1.783454014	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	52522.326980797	54990.884796972	53073.564615018	53742.551302715	54419.970497095	53748.016905238	809.132732848	0.016933123	1.783519605
2038	  12	-5359.458416774	-5126.554519386	-5305.597591594	-5241.685956834	-5178.566605992	-5242.199482474	76.340191361	-0.016862718	1.783517093	-283918.973392684	-222410.567702044	-269729.080468476	-252865.122422813	-236180.948039662	-252981.650762577	20160.861696838	-0.014489185	1.783456051	99491.125345005	103219.691765337	100325.559400841	101336.813469456	102359.224299710	101344.044809035	1222.132823079	0.014832615	1.783452826	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	49955.564390152	52303.483951710	50479.863078226	51116.156431443	51760.470195309	51121.354930339	769.590470558	0.016933123	1.783519605
2039	  12	-5625.984196312	-5381.164493510	-5569.367749094	-5502.186273804	-5435.837617180	-5502.726072390	80.245900435	-0.016862718	1.783517093	-353851.943402289	-289631.722560367	-339033.695729300	-321425.057666486	-304006.479284981	-321548.246496015	21049.731331816	-0.014670538	1.783460323	95590.868204083	99159.540670831	96389.552097619	97357.454615409	98336.006750523	97364.357245299	1169.723508184	0.014792743	1.783451625	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	47514.239314855	49747.416205193	48012.915561269	48618.113301067	49230.939494583	48623.057749670	731.980635970	0.016933123	1.783519605
2040	  12	-5906.145940565	-5648.800797130	-5846.632888457	-5776.014281388	-5706.271101569	-5776.581697095	84.351432999	-0.016862718	1.783517093	-426904.348660219	-359818.128243406	-411422.146546604	-393026.542671526	-374831.750447913	-393156.700482796	21989.138755939	-0.014838264	1.783464325	91857.443311290	95273.484160096	92621.999866727	93548.519438197	94485.205325474	93555.108812307	1119.694608702	0.014752374	1.783450411	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	45192.221631958	47316.263317710	45666.527603716	46242.149370631	46825.026789246	46246.852184364	696.208791471	0.016933123	1.783519605
2041	  12	-6200.641291369	-5930.129881984	-6138.083438566	-6063.851849533	-5990.540476271	-6064.448295305	88.667012400	-0.016862718	1.783517093	-503251.886365811	-433138.306412648	-487068.468034262	-467841.642346480	-448826.882944034	-467979.094945309	22981.435932762	-0.014993281	1.783468067	88283.285149356	91553.615440845	89015.260955326	89902.273686316	90798.992132462	89908.564518403	1071.934263054	0.014711509	1.783449186	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	42983.680797211	45003.920708491	43434.807467997	43982.298637839	44536.690876168	43986.771625380	662.185114609	0.016933123	1.783519605
2042	  12	-6510.203583237	-6225.852296750	-6444.445151957	-6366.415733947	-6289.353611692	-6367.042695016	93.203385034	-0.016862718	1.783517093	-583078.500449964	-509768.624545642	-566154.849452199	-546050.465785316	-526169.933666698	-546195.557103501	24029.106236824	-0.015136467	1.783471561	84861.183405394	87992.399266274	85562.052464666	86411.346391139	87269.907046282	86417.352690604	1026.335965871	0.014670154	1.783447948	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	40883.071204669	42804.582127222	41312.151345364	41832.886658521	42360.185785412	41837.141051462	629.824172550	0.016933123	1.783519605
2043	  12	-6835.603669470	-6536.704431500	-6766.480912044	-6684.459360918	-6603.454594233	-6685.118398505	97.971847101	-0.016862718	1.783517093	-666576.838666410	-589893.734141963	-648872.086924026	-627841.613800008	-607047.337404207	-627994.706752592	25134.770643709	-0.015268656	1.783474820	81584.265971005	84582.654144896	82255.433173707	83068.712476360	83890.840101208	83074.447582310	982.798308965	0.014628314	1.783446698	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	38885.118261777	40712.725074649	39293.229284826	39788.516298217	40290.046352205	39792.562779260	599.044707554	0.016933123	1.783519605
2044	   3	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	-666843.569226697	-666843.569226697	0	-666843.569226697	0	-666843.569226697	0.000000000	0.000000000	0.000000000	81317.535410718	81317.535410718	0	81317.535410718	0	81317.535410718	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	38723.096935686	38723.096935686	0	38723.096935686	0	38723.096935686	0.000000000	0.000000000	0.000000000
